Date,User Id,Amount
2017-02-07,124,-63
2017-02-16,53,183
2017-02-02,53,-30
2017-02-11,82,205
2017-02-01,154,1
2017-02-13,158,77
2017-02-16,22,-111
2017-02-14,105,111
2017-02-09,43,64
2017-02-03,121,-94
2017-02-21,118,848
2017-02-13,6,342
2017-02-23,158,-13
2017-02-25,17,1128
2017-02-10,43,-100
2017-02-09,84,209
2017-02-12,31,-89
2017-02-01,90,419
2017-02-03,174,919
2017-02-08,160,70
2017-02-23,105,-50
2017-02-07,106,-88
2017-02-05,72,107
2017-02-26,113,531
2017-02-25,35,72
2017-02-24,22,951
2017-02-11,15,495
2017-02-09,72,337
2017-02-12,154,111
2017-02-27,158,227
2017-02-18,133,1009
2017-02-10,78,313
2017-02-14,124,295
2017-02-15,111,132
2017-02-13,13,4
2017-02-09,160,-59
2017-02-27,6,388
2017-02-15,14,-56
2017-02-16,47,925
2017-02-01,124,119
2017-02-11,105,53
2017-02-18,126,-36
2017-02-09,124,351
2017-02-10,9,198
2017-02-25,154,305
2017-02-20,126,193
2017-02-03,106,-35
2017-02-03,188,150
2017-02-19,95,128
2017-02-02,84,-33
2017-02-24,149,497
2017-02-06,6,110
2017-02-02,22,1092
2017-02-11,6,142
2017-02-26,21,383
2017-02-16,188,294
2017-02-19,14,86
2017-02-18,43,124
2017-02-12,149,488
2017-02-07,103,1088
2017-02-01,13,1171
2017-02-10,133,571
2017-02-03,18,-90
2017-02-07,154,53
2017-02-27,105,32
2017-02-02,14,119
2017-02-02,17,700
2017-02-22,160,165
2017-02-15,160,165
2017-02-25,118,264
2017-02-24,176,539
2017-02-02,90,408
2017-02-01,160,105
2017-02-01,14,253
2017-02-07,72,219
2017-02-25,90,853
2017-02-02,6,380
2017-02-20,114,777
2017-02-13,9,74
2017-02-26,126,-12
2017-02-01,43,337
2017-02-14,15,-26
2017-02-25,31,229
2017-02-12,17,1141
2017-02-04,149,1010
2017-02-18,105,382
2017-02-14,14,245
2017-02-01,188,367
2017-02-21,105,332
2017-02-23,126,131
2017-02-11,188,-33
2017-02-02,124,337
2017-02-09,154,34
2017-02-22,21,-32
2017-02-23,14,359
2017-02-26,124,-76
2017-02-05,154,3
2017-02-15,21,68
2017-02-27,133,-275
2017-02-26,19,291
2017-02-14,158,279
2017-02-23,138,744
2017-02-12,47,759
2017-02-23,6,201
2017-02-23,72,245
2017-02-08,105,40
2017-02-11,121,1144
2017-02-25,126,-47
2017-02-08,125,249
2017-02-19,9,240
2017-02-07,125,1
2017-02-17,131,992
