Date,User Id,Amount
2017-03-09,188,-22
2017-03-03,17,1143
2017-03-11,72,60
2017-03-21,124,61
2017-03-14,31,79
2017-03-15,154,213
2017-03-11,118,329
2017-03-06,113,1194
2017-03-25,9,36
2017-03-24,43,197
2017-03-13,188,147
2017-03-14,6,-56
2017-03-23,112,172
2017-03-09,17,192
2017-03-18,22,676
2017-03-12,31,383
2017-03-15,121,1151
2017-03-14,121,231
2017-03-15,35,212
2017-03-03,14,65
2017-03-03,19,99
2017-03-11,92,365
2017-03-12,138,740
2017-03-06,125,-14
2017-03-25,194,772
2017-03-16,149,452
2017-03-01,90,214
2017-03-30,112,-11
2017-03-05,103,385
2017-03-21,106,65
2017-03-10,113,1012
2017-03-25,21,94
2017-03-26,47,381
2017-03-20,160,112
2017-03-28,43,214
2017-03-05,105,157
2017-03-24,124,-41
2017-03-05,6,115
2017-03-29,103,839
2017-03-06,158,97
2017-03-08,131,940
2017-03-09,124,311
2017-03-04,72,270
2017-03-15,92,-6
2017-03-18,13,229
2017-03-14,118,1129
2017-03-11,124,320
2017-03-12,18,130
2017-03-28,74,342
2017-03-06,114,82
2017-03-11,188,-23
2017-03-10,17,189
2017-03-20,78,-229
2017-03-30,6,202
2017-03-29,53,72
2017-03-09,111,116
2017-03-25,158,157
2017-03-25,92,65
2017-03-28,53,-94
2017-03-10,92,367
2017-03-03,106,266
2017-03-03,158,261
2017-03-17,112,119
2017-03-24,105,201
2017-03-28,118,672
2017-03-19,188,92
2017-03-18,131,1183
2017-03-01,200,1123
2017-03-27,31,-66
2017-03-11,138,263
2017-03-26,112,345
2017-03-14,160,-30
2017-03-05,74,898
2017-03-02,133,810
2017-03-23,162,61
2017-03-29,22,653
2017-03-21,162,7
2017-03-12,106,100
2017-03-22,162,144
2017-03-18,105,205
2017-03-09,72,396
2017-03-07,174,1058
2017-03-03,124,324
2017-03-10,18,304
2017-03-12,105,24
2017-03-23,149,-254
2017-03-16,95,517
2017-03-27,9,56
2017-03-23,158,258
2017-03-13,78,-76
2017-03-12,6,329
2017-03-09,47,346
2017-03-19,106,365
2017-03-27,6,177
2017-03-06,105,126
2017-03-01,14,22
2017-03-10,43,-10
2017-03-18,149,442
2017-03-21,188,165
2017-03-19,184,583
2017-03-06,18,100
2017-03-12,21,-13
2017-03-27,133,235
2017-03-14,53,375
2017-03-02,6,86
2017-03-11,112,188
2017-03-26,131,879
2017-03-17,154,24
2017-03-09,9,92
2017-03-20,18,389
2017-03-08,188,372
2017-03-15,160,329
2017-03-03,13,878
2017-03-22,125,161
2017-03-03,21,198
2017-03-09,15,831
2017-03-17,90,7
2017-03-19,162,349
2017-03-22,121,350
2017-03-21,14,380
2017-03-14,106,-70
2017-03-17,199,-220
2017-03-18,114,950
2017-03-27,18,310
2017-03-04,31,-29
2017-03-18,160,380
2017-03-08,114,93
2017-03-05,200,862
2017-03-06,138,478
2017-03-27,160,227
2017-03-24,103,662
2017-03-07,90,185
2017-03-04,112,344
