dt,user_id,initial_amount,program,deposit,total_deposits,total_deposits_for_month,current_balance,total_transaction_count,total_transaction_count_for_month,is_last_day_of_month
2017-01-01,6,884,1,0,0,0,884,0,0,False
2017-01-02,6,884,1,0,0,0,884,0,0,False
2017-01-03,6,884,1,0,0,0,884,0,0,False
2017-01-04,6,884,1,0,0,0,884,0,0,False
2017-01-05,6,884,1,0,0,0,884,0,0,False
2017-01-06,6,884,1,151,151,151,1035,1,1,False
2017-01-07,6,884,1,0,151,151,1035,1,1,False
2017-01-08,6,884,1,0,151,151,1035,1,1,False
2017-01-09,6,884,1,0,151,151,1035,1,1,False
2017-01-10,6,884,1,0,151,151,1035,1,1,False
2017-01-11,6,884,1,0,151,151,1035,1,1,False
2017-01-12,6,884,1,0,151,151,1035,1,1,False
2017-01-13,6,884,1,0,151,151,1035,1,1,False
2017-01-14,6,884,1,0,151,151,1035,1,1,False
2017-01-15,6,884,1,0,151,151,1035,1,1,False
2017-01-16,6,884,1,165,316,316,1200,2,2,False
2017-01-17,6,884,1,0,316,316,1200,2,2,False
2017-01-18,6,884,1,0,316,316,1200,2,2,False
2017-01-19,6,884,1,0,316,316,1200,2,2,False
2017-01-20,6,884,1,0,316,316,1200,2,2,False
2017-01-21,6,884,1,0,316,316,1200,2,2,False
2017-01-22,6,884,1,0,316,316,1200,2,2,False
2017-01-23,6,884,1,0,316,316,1200,2,2,False
2017-01-24,6,884,1,0,316,316,1200,2,2,False
2017-01-25,6,884,1,0,316,316,1200,2,2,False
2017-01-26,6,884,1,0,316,316,1200,2,2,False
2017-01-27,6,884,1,0,316,316,1200,2,2,False
2017-01-28,6,884,1,0,316,316,1200,2,2,False
2017-01-29,6,884,1,0,316,316,1200,2,2,False
2017-01-30,6,884,1,0,316,316,1200,2,2,False
2017-01-31,6,884,1,0,316,316,1200,2,2,True
2017-02-01,6,884,1,0,316,0,1200,2,0,False
2017-02-02,6,884,1,380,696,380,1580,3,1,False
2017-02-03,6,884,1,0,696,380,1580,3,1,False
2017-02-04,6,884,1,0,696,380,1580,3,1,False
2017-02-05,6,884,1,0,696,380,1580,3,1,False
2017-02-06,6,884,1,110,806,490,1690,4,2,False
2017-02-07,6,884,1,0,806,490,1690,4,2,False
2017-02-08,6,884,1,0,806,490,1690,4,2,False
2017-02-09,6,884,1,0,806,490,1690,4,2,False
2017-02-10,6,884,1,0,806,490,1690,4,2,False
2017-02-11,6,884,1,142,948,632,1832,5,3,False
2017-02-12,6,884,1,0,948,632,1832,5,3,False
2017-02-13,6,884,1,342,1290,974,2174,6,4,False
2017-02-14,6,884,1,0,1290,974,2174,6,4,False
2017-02-15,6,884,1,0,1290,974,2174,6,4,False
2017-02-16,6,884,1,0,1290,974,2174,6,4,False
2017-02-17,6,884,1,0,1290,974,2174,6,4,False
2017-02-18,6,884,1,0,1290,974,2174,6,4,False
2017-02-19,6,884,1,0,1290,974,2174,6,4,False
2017-02-20,6,884,1,0,1290,974,2174,6,4,False
2017-02-21,6,884,1,0,1290,974,2174,6,4,False
2017-02-22,6,884,1,0,1290,974,2174,6,4,False
2017-02-23,6,884,1,201,1491,1175,2375,7,5,False
2017-02-24,6,884,1,0,1491,1175,2375,7,5,False
2017-02-25,6,884,1,0,1491,1175,2375,7,5,False
2017-02-26,6,884,1,0,1491,1175,2375,7,5,False
2017-02-27,6,884,1,388,1879,1563,2763,8,6,False
2017-02-28,6,884,1,0,1879,1563,2763,8,6,True
2017-03-01,6,884,1,0,1879,0,2763,8,0,False
2017-03-02,6,884,1,86,1965,86,2849,9,1,False
2017-03-03,6,884,1,0,1965,86,2849,9,1,False
2017-03-04,6,884,1,0,1965,86,2849,9,1,False
2017-03-05,6,884,1,115,2080,201,2964,10,2,False
2017-03-06,6,884,1,0,2080,201,2964,10,2,False
2017-03-07,6,884,1,0,2080,201,2964,10,2,False
2017-03-08,6,884,1,0,2080,201,2964,10,2,False
2017-03-09,6,884,1,0,2080,201,2964,10,2,False
2017-03-10,6,884,1,0,2080,201,2964,10,2,False
2017-03-11,6,884,1,0,2080,201,2964,10,2,False
